Member_number,itemDescription,itemCost
1073,finished products,4.23
3390,abrasive cleaner,2.52
1768,dessert,3.75
1186,vegetables,3.27
4138,curd,2.47
2816,bottled beer,3.37
2568,cream,8.75
4512,sausage,2.65
1628,soda,8.04
3911,specialty cheese,5.7
3736,vegetables,3.27
4644,misc. beverages,7.18
1583,bottled water,4.69
3338,soda,8.04
2427,vegetables,3.27
1302,citrus fruit,9.12
4499,vegetables,3.27
1785,turkey,2.58
3961,yogurt,9.51
2326,citrus fruit,9.12
1319,pip fruit,3.52
2370,curd,2.47
3118,liver loaf,7.54
1067,whole milk,8.15
2870,beef,7.07
3843,ice cream,8.03
1978,beef,7.07
1849,pork,5.16
4077,pip fruit,3.52
2494,chicken,7.57
1442,chicken,7.57
3840,liqueur,2
4288,berries,4.72
4877,sausage,2.65
3215,sausage,2.65
2425,vegetables,3.27
2345,bottled beer,3.37
1967,sausage,2.65
2231,bottled water,4.69
3946,newspapers,8.56
3062,soda,8.04
2389,packaged fruit/vegetables,3.09
3599,dessert,3.75
1737,hamburger meat,8.96
3612,white bread,2.43
4070,sausage,2.65
3206,shopping bags,6.96
4065,shopping bags,6.96
3804,beef,7.07
3308,citrus fruit,9.12
2594,citrus fruit,9.12
4521,frozen potato products,7.64
2226,curd,2.47
3620,sausage,2.65
1277,cream,8.75
3704,whole milk,8.15
3815,pastry,6.14
1724,whole milk,8.15
1619,whole milk,8.15
2193,citrus fruit,9.12
4319,whole milk,8.15
1836,oil,5.64
1593,meat,3.48
4082,specialty chocolate,3.61
2934,bottled beer,3.37
2577,ice cream,8.03
4944,vegetables,3.27
3439,beef,7.07
2475,canned vegetables,6.22
2492,beef,7.07
2337,citrus fruit,9.12
4779,sausage,2.65
2661,bottled water,4.69
1136,tropical fruit,7.28
4286,vegetables,3.27
2810,vegetables,3.27
3294,dessert,3.75
1567,chewing gum,3.71
4381,onions,4.27
2340,pip fruit,3.52
2570,soda,8.04
4922,packaged fruit/vegetables,3.09
1339,tropical fruit,7.28
2245,canned beer,9.06
3583,sausage,2.65
3469,soda,8.04
4092,whole milk,8.15
1629,frozen dessert,2.79
4763,citrus fruit,9.12
4202,coffee,6.13
2314,oil,5.64
2903,tropical fruit,7.28
4320,soda,8.04
4810,chicken,7.57
1700,vegetables,3.27
3272,dessert,3.75
3762,sausage,2.65
1125,condensed milk,2.04
3500,brown bread,8.2
1174,pip fruit,3.52
4875,bottled water,4.69
4871,shopping bags,6.96
3009,sausage,2.65
3593,whole milk,8.15
4954,soda,8.04
4864,whole milk,8.15
4464,pastry,6.14
3089,citrus fruit,9.12
3764,ice cream,8.03
1804,whole milk,8.15
4804,whole milk,8.15
3545,sausage,2.65
3904,citrus fruit,9.12
1893,yogurt,9.51
3418,yogurt,9.51
3694,rolls_buns,8.11
2613,soda,8.04
3141,onions,4.27
4501,butter milk,2.61
3424,sausage,2.65
2564,frozen dessert,2.79
2575,citrus fruit,9.12
4507,tropical fruit,7.28
1492,hard cheese,3.42
1514,cream,8.75
1732,pork,5.16
3161,onions,4.27
3094,tropical fruit,7.28
1585,vegetables,3.27
1707,sausage,2.65
2467,chocolate,8.36
2143,soda,8.04
2088,yogurt,9.51
2814,pip fruit,3.52
3940,bottled water,4.69
4177,bottled beer,3.37
4260,frozen vegetables,2.17
2169,detergent,9.56
1612,bottled water,4.69
1464,vegetables,3.27
3870,yogurt,9.51
3253,sweet spreads,7.51
2784,tropical fruit,7.28
2548,whole milk,8.15
4064,citrus fruit,9.12
2309,citrus fruit,9.12
3104,citrus fruit,9.12
2849,pork,5.16
3461,yogurt,9.51
1601,beef,7.07
3701,shopping bags,6.96
3955,cream,8.75
4719,vegetables,3.27
1690,sugar,2.61
1315,packaged fruit/vegetables,3.09
3772,tropical fruit,7.28
3797,whole milk,8.15
3515,canned beer,9.06
4163,tropical fruit,7.28
1374,chewing gum,3.71
2775,tropical fruit,7.28
3937,white wine,7.06
3166,whole milk,8.15
1805,canned beer,9.06
2624,tropical fruit,7.28
4072,chicken,7.57
1794,sweet spreads,7.51
3673,packaged fruit/vegetables,3.09
2696,vegetables,3.27
1991,citrus fruit,9.12
2321,cream,8.75
2636,hamburger meat,8.96
4721,bottled water,4.69
3051,frozen meals,8.75
1705,white bread,2.43
4714,pastry,6.14
1327,bottled beer,3.37
4719,tropical fruit,7.28
3185,sausage,2.65
3621,soda,8.04
3308,rolls_buns,8.11
1915,UHT-milk,7.26
2753,nuts/prunes,4.87
2792,canned beer,9.06
1723,tropical fruit,7.28
4398,oil,5.64
4667,rolls_buns,8.11
2691,citrus fruit,9.12
1636,berries,4.72
2681,beef,7.07
3854,citrus fruit,9.12
2571,sausage,2.65
3789,whole milk,8.15
4119,beef,7.07
3099,pip fruit,3.52
1213,eggs,7.61
2294,vegetables,3.27
2149,softener,7.5
4019,whole milk,8.15
4167,sausage,2.65
2885,chicken,7.57
4706,sausage,2.65
3786,curd,2.47
2019,sausage,2.65
4675,pip fruit,3.52
4042,yogurt,9.51
2102,rolls_buns,8.11
2240,chicken,7.57
2151,beef,7.07
3878,citrus fruit,9.12
4235,beef,7.07
4817,rolls_buns,8.11
1992,pastry,6.14
3407,canned beer,9.06
3668,whole milk,8.15
3500,pip fruit,3.52
1874,citrus fruit,9.12
1343,vegetables,3.27
3234,citrus fruit,9.12
1430,beef,7.07
3772,meat,3.48
2981,UHT-milk,7.26
1287,sausage,2.65
1500,sausage,2.65
2193,bottled beer,3.37
1997,soda,8.04
4546,tropical fruit,7.28
4736,vegetables,3.27
1959,hamburger meat,8.96
1974,fish,6.1
2421,sausage,2.65
1513,yogurt,9.51
1905,tropical fruit,7.28
2810,meat,3.48
2867,bottled water,4.69
3962,hamburger meat,8.96
1088,meat,3.48
4976,sausage,2.65
4056,chicken,7.57
3611,chicken,7.57
1420,salty snack,8.88
4286,whole milk,8.15
4918,rolls_buns,8.11
4783,beef,7.07
3709,citrus fruit,9.12
4289,chicken,7.57
1559,citrus fruit,9.12
2900,bottled water,4.69
1905,sausage,2.65
3527,pip fruit,3.52
1495,sausage,2.65
3558,ham,7.84
3128,butter,7.84
1863,pork,5.16
3841,pork,5.16
3903,citrus fruit,9.12
2658,canned beer,9.06
4272,berries,4.72
1120,condensed milk,2.04
2676,chicken,7.57
1697,rolls_buns,8.11
2507,pork,5.16
4620,whole milk,8.15
3365,vegetables,3.27
2978,chicken,7.57
2910,vegetables,3.27
1061,tropical fruit,7.28
3276,vegetables,3.27
1326,chewing gum,3.71
3023,vegetables,3.27
2185,chicken,7.57
3552,canned beer,9.06
1967,whole milk,8.15
4708,citrus fruit,9.12
2874,bottled beer,3.37
4177,whole milk,8.15
1663,onions,4.27
2632,sausage,2.65
1377,vegetables,3.27
4162,bottled beer,3.37
2270,whole milk,8.15
4829,yogurt,9.51
3811,sausage,2.65
4766,specialty chocolate,3.61
2436,zwieback,2.81
3860,frozen vegetables,2.17
4875,sausage,2.65
1587,whole milk,8.15
4038,sausage,2.65
4750,pork,5.16
1199,canned vegetables,6.22
1603,chicken,7.57
3111,pip fruit,3.52
3894,sausage,2.65
1456,whole milk,8.15
2022,pork,5.16
2505,chicken,7.57
4851,coffee,6.13
4293,sausage,2.65
2775,sausage,2.65
3693,bottled beer,3.37
1202,cheese,3.27
3699,sausage,2.65
4152,sausage,2.65
4155,soda,8.04
4010,rolls_buns,8.11
4389,tropical fruit,7.28
3746,butter,7.84
2560,sausage,2.65
1503,finished products,4.23
2555,liver loaf,7.54
3645,sausage,2.65
3886,butter milk,2.61
2932,whole milk,8.15
1711,whole milk,8.15
4291,vegetables,3.27
1143,whole milk,8.15
4564,sausage,2.65
3337,waffles,5.47
4931,citrus fruit,9.12
2623,whole milk,8.15
4581,pork,5.16
2635,berries,4.72
1095,bottled water,4.69
2990,chocolate,8.36
2426,fruit juice,8.22
4555,whole milk,8.15
3635,chocolate marshmallow,9.5
3058,chicken,7.57
4391,hygiene articles,3.76
1306,pork,5.16
1024,vegetables,3.27
1295,chicken,7.57
1661,vegetables,3.27
4591,pip fruit,3.52
3169,pip fruit,3.52
3915,bottled beer,3.37
1127,rolls_buns,8.11
4828,whole milk,8.15
3683,candy,6.53
1971,curd,2.47
3014,sausage,2.65
3779,sausage,2.65
2489,herbs,6.13
3564,grapes,9.57
4092,sausage,2.65
3221,bottled beer,3.37
1279,yogurt,9.51
2581,canned beer,9.06
2295,nuts/prunes,4.87
4760,grapes,9.57
3649,grapes,9.57
1075,citrus fruit,9.12
3987,whole milk,8.15
4106,rolls_buns,8.11
4338,rolls_buns,8.11
4166,canned beer,9.06
1211,butter,7.84
3954,beef,7.07
3928,soda,8.04
3827,sausage,2.65
4699,sausage,2.65
4747,cheese ,3.89
3028,chocolate,5.37
2851,vegetables,3.27
4417,canned beer,9.06
3822,bottled water,4.69
2288,sausage,2.65
2184,pork,5.16
1345,grapes,9.57
4441,bottled beer,3.37
2540,instant coffee,7.61
1997,berries,4.72
2294,citrus fruit,9.12
1523,beef,7.07
3165,yogurt,9.51
4831,frozen meals,8.75
4073,tropical fruit,7.28
3661,citrus fruit,9.12
2019,salty snack,8.88
1092,soda,8.04
4078,beef,7.07
4753,citrus fruit,9.12
1279,sausage,2.65
1012,vegetables,3.27
2362,sausage,2.65
2789,curd,2.47
3229,curd,2.47
1715,whole milk,8.15
4351,whole milk,8.15
4397,onions,4.27
3653,whole milk,8.15
2730,vegetables,3.27
4321,pip fruit,3.52
1086,beef,7.07
1708,citrus fruit,9.12
4293,sausage,2.65
4524,ice cream,8.03
3783,ice cream,8.03
1460,tropical fruit,7.28
2960,tropical fruit,7.28
3442,sparkling wine,5.88
4059,sausage,2.65
1822,tropical fruit,7.28
1584,chocolate,5.37
1624,whole milk,8.15
4877,ham,7.84
1567,sausage,2.65
2018,rolls_buns,8.11
1182,hamburger meat,8.96
3401,condensed milk,2.04
4547,whole milk,8.15
3547,bottled beer,3.37
4831,sausage,2.65
2851,white bread,2.43
3072,vegetables,3.27
1398,sausage,2.65
1779,beef,7.07
1823,berries,4.72
3360,beef,7.07
1565,whole milk,8.15
4321,sausage,2.65
1293,tropical fruit,7.28
3331,whole milk,8.15
2408,citrus fruit,9.12
2742,dessert,3.75
3934,whole milk,8.15
4742,pastry,6.14
4405,cheese,3.27
3229,vegetables,3.27
2817,male cosmetics,6.11
2741,vegetables,3.27
3562,finished products,4.23
4442,vegetables,3.27
2022,fruit juice,8.22
4380,berries,4.72
3687,vegetables,3.27
2077,roll products ,9.98
3273,sausage,2.65
3736,beef,7.07
3190,tropical fruit,7.28
3295,sausage,2.65
3276,specialty chocolate,3.61
4405,bottled water,4.69
4266,sausage,2.65
1372,whole milk,8.15
1242,beverages,6.77
4820,pastry,6.14
4702,grapes,9.57
3687,citrus fruit,9.12
4115,citrus fruit,9.12
2236,meat,3.48
1026,salty snack,8.88
2678,finished products,4.23
1934,bottled beer,3.37
3525,citrus fruit,9.12
1354,ice cream,8.03
2782,tropical fruit,7.28
4456,margarine,2.4
4869,soda,8.04
2454,sausage,2.65
4222,beverages,6.77
1358,cream,8.75
3393,tropical fruit,7.28
1615,herbs,6.13
4734,whole milk,8.15
4946,yogurt,9.51
2419,hamburger meat,8.96
4989,pip fruit,3.52
2961,frozen potato products,7.64
2707,whole milk,8.15
2010,whole milk,8.15
1502,sausage,2.65
2600,female sanitary products,6.72
3603,beef,7.07
4352,sausage,2.65
1477,sausage,2.65
4938,tropical fruit,7.28
2745,sausage,2.65
2738,beef,7.07
4170,curd,2.47
3776,bottled water,4.69
1062,yogurt,9.51
1546,vegetables,3.27
2020,sliced cheese,5.66
2366,pip fruit,3.52
1107,chicken,7.57
1407,ham,7.84
3718,specialty chocolate,3.61
4808,fish,6.1
2940,detergent,9.56
3048,rolls_buns,8.11
3165,sausage,2.65
4306,coffee,6.13
4302,sausage,2.65
4516,sausage,2.65
3582,whole milk,8.15
1534,dessert,3.75
1844,pip fruit,3.52
1218,sausage,2.65
4482,whole milk,8.15
2574,salty snack,8.88
2767,sausage,2.65
2794,bottled beer,3.37
4228,sweet spreads,7.51
3062,pip fruit,3.52
2365,pork,5.16
3775,beverages,6.77
2232,whole milk,8.15
4156,tropical fruit,7.28
3643,sausage,2.65
3470,sweet spreads,7.51
2602,soups,6.45
4796,soda,8.04
3289,vegetables,3.27
4470,whole milk,8.15
2502,citrus fruit,9.12
2205,whole milk,8.15
3201,soda,8.04
2882,sausage,2.65
2757,cream,8.75
3679,sausage,2.65
2380,vegetables,3.27
1825,bottled beer,3.37
2868,pip fruit,3.52
2709,citrus fruit,9.12
4585,cream,8.75
2634,cream,8.75
4832,vegetables,3.27
2032,tropical fruit,7.28
2061,tropical fruit,7.28
2210,specialty bar,6.93
2346,meat,3.48
4315,soda,8.04
4166,yogurt,9.51
3907,sausage,2.65
2706,ham,7.84
2855,organic products,6.01
2074,canned beer,9.06
2840,frozen meals,8.75
2247,vegetables,3.27
4063,sausage,2.65
4780,sausage,2.65
1081,sausage,2.65
4843,male cosmetics,6.11
3246,frozen meals,8.75
4009,whole milk,8.15
3697,UHT-milk,7.26
4579,misc. beverages,7.18
3803,fruit juice,8.22
4108,vegetables,3.27
1664,sausage,2.65
4179,grapes,9.57
4172,grapes,9.57
2851,bottled beer,3.37
3385,rolls_buns,8.11
1303,rolls_buns,8.11
4487,curd,2.47
2392,sausage,2.65
4218,sausage,2.65
2891,liver loaf,7.54
4474,canned beer,9.06
4437,cheese,8.2
2648,pork,5.16
1081,tropical fruit,7.28
3071,pip fruit,3.52
3409,citrus fruit,9.12
2768,meat,3.48
3424,shopping bags,6.96
4610,hamburger meat,8.96
3090,vegetables,3.27
4585,beef,7.07
4388,canned beer,9.06
3751,cream,8.75
2650,tropical fruit,7.28
2448,tropical fruit,7.28
2652,pastry,6.14
1385,turkey,2.58
2960,tropical fruit,7.28
2736,sugar,2.61
1768,finished products,4.23
2002,meat,3.48
3046,hamburger meat,8.96
2284,pork,5.16
1708,whole milk,8.15
1952,pork,5.16
3497,UHT-milk,7.26
1479,vegetables,3.27
1237,whole milk,8.15
4353,chicken,7.57
3528,whole milk,8.15
2092,pip fruit,3.52
2514,rolls_buns,8.11
4790,vegetables,3.27
1948,sausage,2.65
3581,whole milk,8.15
4778,sausage,2.65
2601,vegetables,3.27
4678,pip fruit,3.52
3642,sausage,2.65
2957,UHT-milk,7.26
4585,pork,5.16
3637,citrus fruit,9.12
1353,beef,7.07
3257,whole milk,8.15
2524,beef,7.07
2035,sausage,2.65
3658,bottled beer,3.37
1901,rolls_buns,8.11
3247,vegetables,3.27
4308,citrus fruit,9.12
1305,tropical fruit,7.28
1011,sausage,2.65
2234,sausage,2.65
3744,tropical fruit,7.28
2903,sausage,2.65
3036,sausage,2.65
2465,tropical fruit,7.28
1233,cream,8.75
1366,beef,7.07
3741,ham,7.84
2230,tropical fruit,7.28
1206,sausage,2.65
3690,sausage,2.65
3620,sausage,2.65
4759,sausage,2.65
3543,beef,7.07
2792,sausage,2.65
1929,bottled water,4.69
2433,beverages,6.77
4941,canned beer,9.06
3547,pastry,6.14
1290,sausage,2.65
4207,vegetables,3.27
2107,sausage,2.65
3050,pork,5.16
3814,canned beer,9.06
4875,grapes,9.57
3691,bottled water,4.69
2433,beef,7.07
4757,herbs,6.13
1407,sausage,2.65
4718,sausage,2.65
1240,sausage,2.65
1792,newspapers,8.56
4486,ham,7.84
1757,finished products,4.23
2186,citrus fruit,9.12
3752,berries,4.72
3051,vegetables,3.27
3688,soda,8.04
4676,sausage,2.65
2142,liver loaf,7.54
4939,soda,8.04
1806,beverages,6.77
1595,hamburger meat,8.96
2086,chicken,7.57
4251,tropical fruit,7.28
2689,nuts/prunes,4.87
2560,pork,5.16
2393,grapes,9.57
1669,sausage,2.65
3500,soda,8.04
1213,beef,7.07
4598,whole milk,8.15
1404,oil,5.64
1758,vegetables,3.27
1265,pip fruit,3.52
1006,sausage,2.65
2779,whole milk,8.15
4457,rolls_buns,8.11
2532,hamburger meat,8.96
2811,chicken,7.57
4004,sausage,2.65
1737,hamburger meat,8.96
3266,sausage,2.65
4981,margarine,2.4
1934,grapes,9.57
2512,canned beer,9.06
3400,bottled beer,3.37
4301,hamburger meat,8.96
2997,shopping bags,6.96
1098,citrus fruit,9.12
2208,vegetables,3.27
3672,berries,4.72
3651,whole milk,8.15
3957,sausage,2.65
2986,vegetables,3.27
4433,cheese ,3.89
3822,citrus fruit,9.12
4588,tropical fruit,7.28
2622,vegetables,3.27
2117,brown bread,8.2
1780,specialty bar,6.93
3819,processed cheese,9.25
1884,chicken,7.57
2595,sausage,2.65
3046,sausage,2.65
3228,chicken,7.57
2251,cheese ,3.89
2368,vegetables,3.27
2573,pastry,6.14
4701,soda,8.04
4384,citrus fruit,9.12
1998,whole milk,8.15
4583,curd,2.47
2043,vegetables,3.27
2201,sausage,2.65
3522,beef,7.07
3922,yogurt,9.51
2636,finished products,4.23
1092,grapes,9.57
2711,frozen vegetables,2.17
3899,sausage,2.65
4372,pork,5.16
4576,UHT-milk,7.26
4953,mayonnaise,3.73
4692,tropical fruit,7.28
1170,turkey,2.58
2625,sausage,2.65
2394,rolls_buns,8.11
4277,soda,8.04
3170,roll products ,9.98
2229,soda,8.04
2944,sausage,2.65
2582,vegetables,3.27
1373,sausage,2.65
1366,vegetables,3.27
3469,yogurt,9.51
4012,meat,3.48
2031,sausage,2.65
2459,vegetables,3.27
4377,berries,4.72
1534,rolls_buns,8.11
2051,beverages,6.77
3430,flour,5.8
1567,sausage,2.65
2972,UHT-milk,7.26
1287,citrus fruit,9.12
4776,vegetables,3.27
2271,whole milk,8.15
4657,bottled beer,3.37
2344,onions,4.27
1482,whole milk,8.15
1278,cookware,6.71
4831,beef,7.07
1819,chicken,7.57
2687,sausage,2.65
4468,baking powder,6.43
4760,rolls_buns,8.11
2310,chocolate,5.37
3924,cookware,6.71
3517,pip fruit,3.52
3164,citrus fruit,9.12
3245,hamburger meat,8.96
2629,chicken,7.57
1347,beef,7.07
1216,soda,8.04
4636,ham,7.84
1197,citrus fruit,9.12
1100,hygiene articles,3.76
2054,citrus fruit,9.12
3761,bottled beer,3.37
4947,photo/film,3.28
1032,soda,8.04
3353,sausage,2.65
4466,whole milk,8.15
2081,citrus fruit,9.12
2162,cat food,6.92
3719,rolls_buns,8.11
3153,cake bar,2.62
4462,yogurt,9.51
2420,sausage,2.65
3971,sausage,2.65
1611,frozen meals,8.75
1225,whole milk,8.15
1554,sausage,2.65
4624,pork,5.16
3337,vegetables,3.27
2265,waffles,5.47
4999,berries,4.72
4102,hamburger meat,8.96
3853,waffles,5.47
2265,chicken,7.57
2452,chicken,7.57
2829,sausage,2.65
3926,cooking chocolate,7.99
3960,pork,5.16
3980,vegetables,3.27
1116,cheese ,3.89
2663,chocolate,8.36
2164,brown bread,8.2
3950,chicken,7.57
1252,turkey,2.58
4804,vegetables,3.27
4041,grapes,9.57
1894,frozen potato products,7.64
4977,dog food,7.6
2171,hamburger meat,8.96
3417,tropical fruit,7.28
1175,citrus fruit,9.12
4946,sausage,2.65
4662,pip fruit,3.52
2869,tropical fruit,7.28
4053,sausage,2.65
4574,sausage,2.65
1110,baking powder,6.43
4700,bottled water,4.69
2565,vegetables,3.27
2468,bottled beer,3.37
4836,zwieback,2.81
3504,vegetables,3.27
1333,sausage,2.65
4039,condensed milk,2.04
2077,citrus fruit,9.12
3519,vegetables,3.27
2989,pet care,4.48
3737,yogurt,9.51
3558,pip fruit,3.52
3036,whole milk,8.15
3180,vegetables,3.27
2978,meat,3.48
3985,whole milk,8.15
4903,rolls_buns,8.11
2835,ham,7.84
3783,honey,6.14
1486,chicken,7.57
4589,white wine,7.06
1132,semi-finished bread,3.51
4827,sausage,2.65
3361,vegetables,3.27
4681,whole milk,8.15
4197,sausage,2.65
3701,tropical fruit,7.28
4195,vegetables,3.27
3429,soda,8.04
2430,specialty bar,6.93
4330,pork,5.16
1783,butter,7.84
4025,yogurt,9.51
3399,tropical fruit,7.28
4766,bottled beer,3.37
3562,sausage,2.65
2447,grapes,9.57
1396,pork,5.16
4633,citrus fruit,9.12
4695,yogurt,9.51
1706,brandy,8.37
3872,turkey,2.58
1444,whole milk,8.15
4753,finished products,4.23
4580,onions,4.27
2516,yogurt,9.51
2415,curd,2.47
3925,beef,7.07
4996,misc. beverages,7.18
4569,sausage,2.65
3509,citrus fruit,9.12
2252,chicken,7.57
1634,vegetables,3.27
4112,ice cream,8.03
4042,sausage,2.65
4473,tropical fruit,7.28
3878,pip fruit,3.52
2266,grapes,9.57
3304,berries,4.72
3757,bottled water,4.69
3440,pork,5.16
4328,pork,5.16
3737,sausage,2.65
3948,rolls_buns,8.11
3682,whole milk,8.15
2827,beef,7.07
2650,beef,7.07
1360,ham,7.84
3679,vegetables,3.27
4137,hamburger meat,8.96
4235,berries,4.72
3193,sausage,2.65
1332,citrus fruit,9.12
4821,whole milk,8.15
1837,citrus fruit,9.12
3665,bottled water,4.69
2659,sausage,2.65
1322,meat,3.48
1599,tropical fruit,7.28
2933,pip fruit,3.52
3963,vegetables,3.27
4178,berries,4.72
1052,vegetables,3.27
4693,sausage,2.65
1329,sausage,2.65
3128,meat,3.48
1175,yogurt,9.51
2211,canned beer,9.06
2093,whole milk,8.15
4284,sausage,2.65
4449,sausage,2.65
4269,sausage,2.65
1962,sausage,2.65
2250,citrus fruit,9.12
1743,frozen meals,8.75
1583,sausage,2.65
4295,whole milk,8.15
1183,ham,7.84
2729,cling film/bags,9.35
4035,chicken,7.57
1608,red/blush wine,8.77
1793,chicken,7.57
2210,hamburger meat,8.96
1885,bottled water,4.69
1078,curd,2.47
1016,sausage,2.65
3077,turkey,2.58
3551,tropical fruit,7.28
1158,vegetables,3.27
2443,pip fruit,3.52
1395,meat,3.48
2454,sausage,2.65
3472,mayonnaise,3.73
3547,soda,8.04
1038,pork,5.16
3915,rolls_buns,8.11
2719,soda,8.04
2234,whole milk,8.15
1565,berries,4.72
1328,ham,7.84
3398,rolls_buns,8.11
3687,rolls_buns,8.11
2448,onions,4.27
2652,whole milk,8.15
1385,yogurt,9.51
2960,rolls_buns,8.11
2736,whole milk,8.15
1768,rolls_buns,8.11
2002,rolls_buns,8.11
3046,pip fruit,3.52
2284,sausage,2.65
1708,turkey,2.58
1952,onions,4.27
3497,beef,7.07
1479,sausage,2.65
1237,vegetables,3.27
4353,chicken,7.57
3528,sausage,2.65
2092,tropical fruit,7.28
2514,tropical fruit,7.28
4790,pip fruit,3.52
1948,yogurt,9.51
3581,tropical fruit,7.28
4778,soda,8.04
2601,rolls_buns,8.11
4678,condensed milk,2.04
3642,eggs,7.61
2957,candles,6.16
4585,butter milk,2.61
3637,whole milk,8.15
1353,beef,7.07
3257,meat,3.48
2524,citrus fruit,9.12
2035,beef,7.07
3658,UHT-milk,7.26
1901,berries,4.72
3247,rolls_buns,8.11
4308,whole milk,8.15
1305,pork,5.16
1011,candles,6.16
2234,pork,5.16
3744,salt,9.84
2903,citrus fruit,9.12
3036,vegetables,3.27
2465,pastry,6.14
1233,waffles,5.47
1366,curd,2.47
3741,whole milk,8.15
2230,sausage,2.65
1206,soda,8.04
3690,ice cream,8.03
3620,tropical fruit,7.28
4759,ham,7.84
3543,meat,3.48
2792,berries,4.72
1929,vegetables,3.27
2433,beef,7.07
4941,bottled beer,3.37
3547,butter,7.84
1290,whole milk,8.15
4207,citrus fruit,9.12
2107,sausage,2.65
3050,sausage,2.65
3814,hygiene articles,3.76
4875,sausage,2.65
3691,shopping bags,6.96
2433,beef,7.07
4757,canned beer,9.06
1407,sausage,2.65
4718,sausage,2.65
1240,whole milk,8.15
1792,beef,7.07
4486,canned beer,9.06
1757,canned beer,9.06
2186,whole milk,8.15
3752,whole milk,8.15
3051,ham,7.84
3688,brandy,8.37
4676,sausage,2.65
2142,vegetables,3.27
4939,hygiene articles,3.76
1806,hamburger meat,8.96
1595,sausage,2.65
2086,meat,3.48
4251,tropical fruit,7.28
2689,vegetables,3.27
2560,pip fruit,3.52
2393,yogurt,9.51
1669,vegetables,3.27
3500,canned beer,9.06
1213,pork,5.16
4598,vegetables,3.27
1404,sausage,2.65
1758,chocolate,8.36
1265,citrus fruit,9.12
1006,chicken,7.57
2779,whole milk,8.15
4457,packaged fruit/vegetables,3.09
2532,whole milk,8.15
2811,beef,7.07
4004,ham,7.84
1737,newspapers,8.56
3266,sausage,2.65
4981,whole milk,8.15
1934,sausage,2.65
2512,eggs,7.61
3400,prepared dishes,3.73
4301,pork,5.16
2997,tropical fruit,7.28
1098,yogurt,9.51
2208,hamburger meat,8.96
3672,canned beer,9.06
3651,pet care,4.48
3957,beef,7.07
2986,chicken,7.57
4433,yogurt,9.51
3822,sugar,2.61
4588,newspapers,8.56
2622,hard cheese,3.42
2117,beef,7.07
1780,beverages,6.77
3819,beef,7.07
1884,rolls_buns,8.11
2595,whole milk,8.15
3046,chicken,7.57
3228,sausage,2.65
2251,citrus fruit,9.12
2368,red/blush wine,8.77
2573,whole milk,8.15
4701,pip fruit,3.52
4384,turkey,2.58
1998,sausage,2.65
4583,canned beer,9.06
2043,pastry,6.14
2201,bottled water,4.69
3522,whole milk,8.15
3922,citrus fruit,9.12
2636,whole milk,8.15
1092,bottled beer,3.37
2711,liquor,7.05
3899,curd,2.47
4372,vegetables,3.27
4576,nuts/prunes,4.87
4953,vegetables,3.27
4692,UHT-milk,7.26
1170,pork,5.16
2625,sausage,2.65
2394,beverages,6.77
4277,pastry,6.14
3170,vegetables,3.27
2229,vegetables,3.27
2944,beef,7.07
2582,bathroom cleaner,2.36
1373,yogurt,9.51
1366,sausage,2.65
3469,cheese,3.27
4012,whole milk,8.15
2031,grapes,9.57
2459,bottled water,4.69
4377,butter milk,2.61
1534,sliced cheese,5.66
2051,fruit juice,8.22
3430,female sanitary products,6.72
1567,rolls_buns,8.11
2972,canned beer,9.06
1287,pip fruit,3.52
4776,pip fruit,3.52
2271,rolls_buns,8.11
4657,beef,7.07
2344,frozen fish,2.22
1482,soda,8.04
1278,canned beer,9.06
4831,tropical fruit,7.28
1819,packaged fruit/vegetables,3.09
2687,rolls_buns,8.11
4468,canned beer,9.06
4760,butter,7.84
2310,berries,4.72
3924,vegetables,3.27
3517,meat,3.48
3164,brown bread,8.2
3245,citrus fruit,9.12
2629,whole milk,8.15
1347,soda,8.04
1216,vegetables,3.27
4636,tropical fruit,7.28
1197,vegetables,3.27
1100,grapes,9.57
2054,margarine,2.4
3761,beef,7.07
4947,yogurt,9.51
1032,butter,7.84
3353,rolls_buns,8.11
4466,ham,7.84
2081,sausage,2.65
1800,vegetables,3.27
3414,brown bread,8.2
2799,hamburger meat,8.96
1634,sausage,2.65
3481,beef,7.07
3691,vegetables,3.27
2811,butter milk,2.61
2758,sausage,2.65
2872,tropical fruit,7.28
3339,canned beer,9.06
3483,sausage,2.65
3255,soda,8.04
3462,tropical fruit,7.28
1355,tropical fruit,7.28
2952,whole milk,8.15
2171,meat,3.48
2693,beef,7.07
1348,chewing gum,3.71
1112,ice cream,8.03
2058,vegetables,3.27
2003,frozen dessert,2.79
2166,rolls_buns,8.11
3113,tropical fruit,7.28
2830,sausage,2.65
3582,fruit juice,8.22
4572,whole milk,8.15
1373,grapes,9.57
2513,rolls_buns,8.11
3050,vegetables,3.27
2563,ham,7.84
1055,yogurt,9.51
1887,sausage,2.65
2391,cookware,6.71
3347,pastry,6.14
4873,beverages,6.77
1571,bottled beer,3.37
3571,tropical fruit,7.28
4348,tropical fruit,7.28
2400,whole milk,8.15
2200,pork,5.16
3973,canned beer,9.06
2695,pork,5.16
3053,ice cream,8.03
2964,ice cream,8.03
2494,packaged fruit/vegetables,3.09
1603,sausage,2.65
1264,yogurt,9.51
2809,pork,5.16
3180,tropical fruit,7.28
4539,cheese,3.76
2990,pastry,6.14
